variableMetadata	accession	description	uniprot_id
Q61702_Inter-alpha-trypsin inhi.	sp|Q61702|ITIH1_MOUSE	Inter-alpha-trypsin inhibitor heavy chain H1  OS=Mus musculus (Mouse) GN=Itih1 PE=1 SV=2	Q61702
O55242_Sigma non-opioid intrace.	sp|O55242|SGMR1_MOUSE	Sigma non-opioid intracellular receptor 1  OS=Mus musculus (Mouse) GN=Sigmar1 PE=1 SV=1	O55242
Q8BTZ7_Mannose-1-phosphate guan.	sp|Q8BTZ7|GMPPB_MOUSE	Mannose-1-phosphate guanyltransferase beta  OS=Mus musculus (Mouse) GN=Gmppb PE=1 SV=1	Q8BTZ7
Q9R013_Cathepsin F	sp|Q9R013|CATF_MOUSE	Cathepsin F  OS=Mus musculus (Mouse) GN=Ctsf PE=1 SV=1	Q9R013
Q9D855_Cytochrome b-c1 complex .	sp|Q9D855|QCR7_MOUSE	Cytochrome b-c1 complex subunit 7  OS=Mus musculus (Mouse) GN=Uqcrb PE=1 SV=3	Q9D855
Q9D8B4_NADH dehydrogenase [ubiq.	sp|Q9D8B4|NDUAB_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11  OS=Mus musculus (Mouse) GN=Ndufa11 PE=1 SV=2	Q9D8B4
Q9DCZ4_MICOS complex subunit Mi.	sp|Q9DCZ4|MIC26_MOUSE	MICOS complex subunit Mic26  OS=Mus musculus (Mouse) GN=Apoo PE=1 SV=2	Q9DCZ4
Q62086_Serum paraoxonase/aryles.	sp|Q62086|PON2_MOUSE	Serum paraoxonase/arylesterase 2  OS=Mus musculus (Mouse) GN=Pon2 PE=1 SV=2	Q62086
Q9D711_Pirin	sp|Q9D711|PIR_MOUSE	Pirin  OS=Mus musculus (Mouse) GN=Pir PE=1 SV=1	Q9D711
Q61823_Programmed cell death pr.	sp|Q61823|PDCD4_MOUSE	Programmed cell death protein 4  OS=Mus musculus (Mouse) GN=Pdcd4 PE=1 SV=1	Q61823
Q91WT8_RNA-binding protein 47	sp|Q91WT8|RBM47_MOUSE	RNA-binding protein 47  OS=Mus musculus (Mouse) GN=Rbm47 PE=1 SV=1	Q91WT8
Q11136_Xaa-Pro dipeptidase	sp|Q11136|PEPD_MOUSE	Xaa-Pro dipeptidase  OS=Mus musculus (Mouse) GN=Pepd PE=1 SV=3	Q11136
O09012_Peroxisomal targeting si.	sp|O09012|PEX5_MOUSE	Peroxisomal targeting signal 1 receptor  OS=Mus musculus (Mouse) GN=Pex5 PE=1 SV=2	O09012
Q91VM5_RNA binding motif protei.	sp|Q91VM5|RMXL1_MOUSE	RNA binding motif protein, X-linked-like-1  OS=Mus musculus (Mouse) GN=Rbmxl1 PE=2 SV=1	Q91VM5
Q9QUJ7_Long-chain-fatty-acid--C.	sp|Q9QUJ7|ACSL4_MOUSE	Long-chain-fatty-acid--CoA ligase 4  OS=Mus musculus (Mouse) GN=Acsl4 PE=1 SV=2	Q9QUJ7
Q8K0R6_Glycolipid transfer prot.	sp|Q8K0R6|GLTD2_MOUSE	Glycolipid transfer protein domain-containing protein 2  OS=Mus musculus (Mouse) GN=Gltpd2 PE=1 SV=1	Q8K0R6
Q02013_Aquaporin-1	sp|Q02013|AQP1_MOUSE	Aquaporin-1  OS=Mus musculus (Mouse) GN=Aqp1 PE=1 SV=3	Q02013
Q62448_Eukaryotic translation i.	sp|Q62448|IF4G2_MOUSE	Eukaryotic translation initiation factor 4 gamma 2  OS=Mus musculus (Mouse) GN=Eif4g2 PE=1 SV=2	Q62448
Q9CQM5_Thioredoxin domain-conta.	sp|Q9CQM5|TXD17_MOUSE	Thioredoxin domain-containing protein 17  OS=Mus musculus (Mouse) GN=Txndc17 PE=1 SV=1	Q9CQM5
Q91WP6_Serine protease inhibito.	sp|Q91WP6|SPA3N_MOUSE	Serine protease inhibitor A3N  OS=Mus musculus (Mouse) GN=Serpina3n PE=1 SV=1	Q91WP6
Q3URE1_Acyl-CoA synthetase fami.	sp|Q3URE1|ACSF3_MOUSE	Acyl-CoA synthetase family member 3, mitochondrial  OS=Mus musculus (Mouse) GN=Acsf3 PE=1 SV=2	Q3URE1
Q8R5H1_Ubiquitin carboxyl-termi.	sp|Q8R5H1|UBP15_MOUSE	Ubiquitin carboxyl-terminal hydrolase 15  OS=Mus musculus (Mouse) GN=Usp15 PE=1 SV=1	Q8R5H1
Q9D0G0_28S ribosomal protein S3.	sp|Q9D0G0|RT30_MOUSE	28S ribosomal protein S30, mitochondrial  OS=Mus musculus (Mouse) GN=Mrps30 PE=1 SV=1	Q9D0G0
Q8K4F5_Protein ABHD11	sp|Q8K4F5|ABHDB_MOUSE	Protein ABHD11  OS=Mus musculus (Mouse) GN=Abhd11 PE=1 SV=1	Q8K4F5
O35685_Nuclear migration protei.	sp|O35685|NUDC_MOUSE	Nuclear migration protein nudC  OS=Mus musculus (Mouse) GN=Nudc PE=1 SV=1	O35685
Q9JK53_Prolargin	sp|Q9JK53|PRELP_MOUSE	Prolargin  OS=Mus musculus (Mouse) GN=Prelp PE=1 SV=2	Q9JK53
Q9CQ54_NADH dehydrogenase [ubiq.	sp|Q9CQ54|NDUC2_MOUSE	NADH dehydrogenase [ubiquinone] 1 subunit C2  OS=Mus musculus (Mouse) GN=Ndufc2 PE=1 SV=1	Q9CQ54
Q9DB27_Malignant T-cell-amplifi.	sp|Q9DB27|MCTS1_MOUSE	Malignant T-cell-amplified sequence 1  OS=Mus musculus (Mouse) GN=Mcts1 PE=1 SV=1	Q9DB27
O35841_Apoptosis inhibitor 5	sp|O35841|API5_MOUSE	Apoptosis inhibitor 5  OS=Mus musculus (Mouse) GN=Api5 PE=1 SV=2	O35841
P29788_Vitronectin	sp|P29788|VTNC_MOUSE	Vitronectin  OS=Mus musculus (Mouse) GN=Vtn PE=1 SV=2	P29788
Q02819_Nucleobindin-1	sp|Q02819|NUCB1_MOUSE	Nucleobindin-1  OS=Mus musculus (Mouse) GN=Nucb1 PE=1 SV=2	Q02819
Q9CR09_Ubiquitin-fold modifier-.	sp|Q9CR09|UFC1_MOUSE	Ubiquitin-fold modifier-conjugating enzyme 1  OS=Mus musculus (Mouse) GN=Ufc1 PE=1 SV=1	Q9CR09
Q9D1G2_Phosphomevalonate kinase	sp|Q9D1G2|PMVK_MOUSE	Phosphomevalonate kinase  OS=Mus musculus (Mouse) GN=Pmvk PE=1 SV=3	Q9D1G2
Q9CPQ1_Cytochrome c oxidase sub.	sp|Q9CPQ1|COX6C_MOUSE	Cytochrome c oxidase subunit 6C  OS=Mus musculus (Mouse) GN=Cox6c PE=1 SV=3	Q9CPQ1
P17047_Lysosome-associated memb.	sp|P17047|LAMP2_MOUSE	Lysosome-associated membrane glycoprotein 2  OS=Mus musculus (Mouse) GN=Lamp2 PE=1 SV=2	P17047
Q8BH69_Selenide, water dikinase.	sp|Q8BH69|SPS1_MOUSE	Selenide, water dikinase 1  OS=Mus musculus (Mouse) GN=Sephs1 PE=1 SV=1	Q8BH69
Q61081_Hsp90 co-chaperone Cdc37	sp|Q61081|CDC37_MOUSE	Hsp90 co-chaperone Cdc37  OS=Mus musculus (Mouse) GN=Cdc37 PE=1 SV=1	Q61081
Q60960_Importin subunit alpha-5	sp|Q60960|IMA5_MOUSE	Importin subunit alpha-5  OS=Mus musculus (Mouse) GN=Kpna1 PE=1 SV=2	Q60960
P62071_Ras-related protein R-Ra.	sp|P62071|RRAS2_MOUSE	Ras-related protein R-Ras2  OS=Mus musculus (Mouse) GN=Rras2 PE=1 SV=1	P62071
Q61207_Prosaposin	sp|Q61207|SAP_MOUSE	Prosaposin  OS=Mus musculus (Mouse) GN=Psap PE=1 SV=2	Q61207
O70133_ATP-dependent RNA helica.	sp|O70133|DHX9_MOUSE	ATP-dependent RNA helicase A  OS=Mus musculus (Mouse) GN=Dhx9 PE=1 SV=2	O70133
Q8C5W3_Tubulin-specific chapero.	sp|Q8C5W3|TBCEL_MOUSE	Tubulin-specific chaperone cofactor E-like protein  OS=Mus musculus (Mouse) GN=Tbcel PE=1 SV=1	Q8C5W3
Q99L88_Beta-1-syntrophin	sp|Q99L88|SNTB1_MOUSE	Beta-1-syntrophin  OS=Mus musculus (Mouse) GN=Sntb1 PE=1 SV=4	Q99L88
Q9Z1Q5_Chloride intracellular c.	sp|Q9Z1Q5|CLIC1_MOUSE	Chloride intracellular channel protein 1  OS=Mus musculus (Mouse) GN=Clic1 PE=1 SV=3	Q9Z1Q5
P62305_Small nuclear ribonucleo.	sp|P62305|RUXE_MOUSE	Small nuclear ribonucleoprotein E  OS=Mus musculus (Mouse) GN=Snrpe PE=1 SV=1	P62305
P32921_Tryptophan--tRNA ligase,.	sp|P32921|SYWC_MOUSE	Tryptophan--tRNA ligase, cytoplasmic  OS=Mus musculus (Mouse) GN=Wars PE=1 SV=2	P32921
Q9QUH0_Glutaredoxin-1	sp|Q9QUH0|GLRX1_MOUSE	Glutaredoxin-1  OS=Mus musculus (Mouse) GN=Glrx PE=1 SV=3	Q9QUH0
Q9CZ04_COP9 signalosome complex.	sp|Q9CZ04|CSN7A_MOUSE	COP9 signalosome complex subunit 7a  OS=Mus musculus (Mouse) GN=Cops7a PE=1 SV=2	Q9CZ04
P52019_Squalene monooxygenase	sp|P52019|ERG1_MOUSE	Squalene monooxygenase  OS=Mus musculus (Mouse) GN=Sqle PE=2 SV=1	P52019
Q8C7E7_Starch-binding domain-co.	sp|Q8C7E7|STBD1_MOUSE	Starch-binding domain-containing protein 1  OS=Mus musculus (Mouse) GN=Stbd1 PE=1 SV=1	Q8C7E7
Q91WK1_SPRY domain-containing p.	sp|Q91WK1|SPRY4_MOUSE	SPRY domain-containing protein 4  OS=Mus musculus (Mouse) GN=Spryd4 PE=1 SV=1	Q91WK1
Q9Z1J3_Cysteine desulfurase, mi.	sp|Q9Z1J3|NFS1_MOUSE	Cysteine desulfurase, mitochondrial  OS=Mus musculus (Mouse) GN=Nfs1 PE=1 SV=3	Q9Z1J3
P97493_Thioredoxin, mitochondri.	sp|P97493|THIOM_MOUSE	Thioredoxin, mitochondrial  OS=Mus musculus (Mouse) GN=Txn2 PE=1 SV=1	P97493
Q91XE8_Transmembrane protein 205	sp|Q91XE8|TM205_MOUSE	Transmembrane protein 205  OS=Mus musculus (Mouse) GN=Tmem205 PE=1 SV=1	Q91XE8
Q9R0M6_Ras-related protein Rab-.	sp|Q9R0M6|RAB9A_MOUSE	Ras-related protein Rab-9A  OS=Mus musculus (Mouse) GN=Rab9a PE=1 SV=1	Q9R0M6
Q9JM76_Actin-related protein 2/.	sp|Q9JM76|ARPC3_MOUSE	Actin-related protein 2/3 complex subunit 3  OS=Mus musculus (Mouse) GN=Arpc3 PE=1 SV=3	Q9JM76
Q9CXR1_Dehydrogenase/reductase .	sp|Q9CXR1|DHRS7_MOUSE	Dehydrogenase/reductase SDR family member 7  OS=Mus musculus (Mouse) GN=Dhrs7 PE=1 SV=2	Q9CXR1
Q8VE22_28S ribosomal protein S2.	sp|Q8VE22|RT23_MOUSE	28S ribosomal protein S23, mitochondrial  OS=Mus musculus (Mouse) GN=Mrps23 PE=1 SV=1	Q8VE22
Q8BFW7_Lipoma-preferred partner.	sp|Q8BFW7|LPP_MOUSE	Lipoma-preferred partner homolog  OS=Mus musculus (Mouse) GN=Lpp PE=1 SV=1	Q8BFW7
Q8BZW8_NHL repeat-containing pr.	sp|Q8BZW8|NHLC2_MOUSE	NHL repeat-containing protein 2  OS=Mus musculus (Mouse) GN=Nhlrc2 PE=1 SV=1	Q8BZW8
P16125_L-lactate dehydrogenase .	sp|P16125|LDHB_MOUSE	L-lactate dehydrogenase B chain  OS=Mus musculus (Mouse) GN=Ldhb PE=1 SV=2	P16125
P56383_ATP synthase F(0) comple.	sp|P56383|AT5G2_MOUSE	ATP synthase F(0) complex subunit C2, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5mc2 PE=2 SV=2	P56383
Q61703_Inter-alpha-trypsin inhi.	sp|Q61703|ITIH2_MOUSE	Inter-alpha-trypsin inhibitor heavy chain H2  OS=Mus musculus (Mouse) GN=Itih2 PE=1 SV=1	Q61703
Q05793_Basement membrane-specif.	sp|Q05793|PGBM_MOUSE	Basement membrane-specific heparan sulfate proteoglycan core protein  OS=Mus musculus (Mouse) GN=Hspg2 PE=1 SV=1	Q05793
P43883_Perilipin-2	sp|P43883|PLIN2_MOUSE	Perilipin-2  OS=Mus musculus (Mouse) GN=Plin2 PE=1 SV=2	P43883
Q8BG51_Mitochondrial Rho GTPase.	sp|Q8BG51|MIRO1_MOUSE	Mitochondrial Rho GTPase 1  OS=Mus musculus (Mouse) GN=Rhot1 PE=1 SV=1	Q8BG51
Q9CQZ6_NADH dehydrogenase [ubiq.	sp|Q9CQZ6|NDUB3_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3  OS=Mus musculus (Mouse) GN=Ndufb3 PE=1 SV=1	Q9CQZ6
Q9QWG7_Sulfotransferase family .	sp|Q9QWG7|ST1B1_MOUSE	Sulfotransferase family cytosolic 1B member 1  OS=Mus musculus (Mouse) GN=Sult1b1 PE=1 SV=2	Q9QWG7
Q9JKV1_Proteasomal ubiquitin re.	sp|Q9JKV1|ADRM1_MOUSE	Proteasomal ubiquitin receptor ADRM1  OS=Mus musculus (Mouse) GN=Adrm1 PE=1 SV=2	Q9JKV1
Q61733_28S ribosomal protein S3.	sp|Q61733|RT31_MOUSE	28S ribosomal protein S31, mitochondrial  OS=Mus musculus (Mouse) GN=Mrps31 PE=1 SV=1	Q61733
Q9ERS2_NADH dehydrogenase [ubiq.	sp|Q9ERS2|NDUAD_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13  OS=Mus musculus (Mouse) GN=Ndufa13 PE=1 SV=3	Q9ERS2
Q9D0J8_Parathymosin	sp|Q9D0J8|PTMS_MOUSE	Parathymosin  OS=Mus musculus (Mouse) GN=Ptms PE=1 SV=3	Q9D0J8
Q9QWR8_Alpha-N-acetylgalactosam.	sp|Q9QWR8|NAGAB_MOUSE	Alpha-N-acetylgalactosaminidase  OS=Mus musculus (Mouse) GN=Naga PE=1 SV=2	Q9QWR8
P53808_Phosphatidylcholine tran.	sp|P53808|PPCT_MOUSE	Phosphatidylcholine transfer protein  OS=Mus musculus (Mouse) GN=Pctp PE=1 SV=2	P53808
Q9D8V0_Minor histocompatibility.	sp|Q9D8V0|HM13_MOUSE	Minor histocompatibility antigen H13  OS=Mus musculus (Mouse) GN=Hm13 PE=1 SV=1	Q9D8V0
Q6ZQ58_La-related protein 1	sp|Q6ZQ58|LARP1_MOUSE	La-related protein 1  OS=Mus musculus (Mouse) GN=Larp1 PE=1 SV=3	Q6ZQ58
Q99LB6_Methionine adenosyltrans.	sp|Q99LB6|MAT2B_MOUSE	Methionine adenosyltransferase 2 subunit beta  OS=Mus musculus (Mouse) GN=Mat2b PE=1 SV=1	Q99LB6
Q9CX86_Heterogeneous nuclear ri.	sp|Q9CX86|ROA0_MOUSE	Heterogeneous nuclear ribonucleoprotein A0  OS=Mus musculus (Mouse) GN=Hnrnpa0 PE=1 SV=1	Q9CX86
P14094_Sodium/potassium-transpo.	sp|P14094|AT1B1_MOUSE	Sodium/potassium-transporting ATPase subunit beta-1  OS=Mus musculus (Mouse) GN=Atp1b1 PE=1 SV=1	P14094
Q8BFS6_Serine/threonine-protein.	sp|Q8BFS6|CPPED_MOUSE	Serine/threonine-protein phosphatase CPPED1  OS=Mus musculus (Mouse) GN=Cpped1 PE=1 SV=1	Q8BFS6
O88545_COP9 signalosome complex.	sp|O88545|CSN6_MOUSE	COP9 signalosome complex subunit 6  OS=Mus musculus (Mouse) GN=Cops6 PE=1 SV=1	O88545
Q9R1S7_Multidrug resistance-ass.	sp|Q9R1S7|MRP6_MOUSE	Multidrug resistance-associated protein 6  OS=Mus musculus (Mouse) GN=Abcc6 PE=1 SV=3	Q9R1S7
P55050_Fatty acid-binding prote.	sp|P55050|FABPI_MOUSE	Fatty acid-binding protein, intestinal  OS=Mus musculus (Mouse) GN=Fabp2 PE=1 SV=2	P55050
Q8VHE0_Translocation protein SE.	sp|Q8VHE0|SEC63_MOUSE	Translocation protein SEC63 homolog  OS=Mus musculus (Mouse) GN=Sec63 PE=1 SV=4	Q8VHE0
Q9CQW1_Synaptobrevin homolog YK.	sp|Q9CQW1|YKT6_MOUSE	Synaptobrevin homolog YKT6  OS=Mus musculus (Mouse) GN=Ykt6 PE=1 SV=1	Q9CQW1
Q61247_Alpha-2-antiplasmin	sp|Q61247|A2AP_MOUSE	Alpha-2-antiplasmin  OS=Mus musculus (Mouse) GN=Serpinf2 PE=1 SV=1	Q61247
P09055_Integrin beta-1	sp|P09055|ITB1_MOUSE	Integrin beta-1  OS=Mus musculus (Mouse) GN=Itgb1 PE=1 SV=1	P09055
P47811_Mitogen-activated protei.	sp|P47811|MK14_MOUSE	Mitogen-activated protein kinase 14  OS=Mus musculus (Mouse) GN=Mapk14 PE=1 SV=3	P47811
Q6P6M5_Peroxisomal membrane pro.	sp|Q6P6M5|PX11C_MOUSE	Peroxisomal membrane protein 11C  OS=Mus musculus (Mouse) GN=Pex11g PE=1 SV=2	Q6P6M5
Q9JLJ4_Elongation of very long .	sp|Q9JLJ4|ELOV2_MOUSE	Elongation of very long chain fatty acids protein 2  OS=Mus musculus (Mouse) GN=Elovl2 PE=1 SV=1	Q9JLJ4
Q8BU30_Isoleucine--tRNA ligase,.	sp|Q8BU30|SYIC_MOUSE	Isoleucine--tRNA ligase, cytoplasmic  OS=Mus musculus (Mouse) GN=Iars PE=1 SV=2	Q8BU30
Q9CZY3_Ubiquitin-conjugating en.	sp|Q9CZY3|UB2V1_MOUSE	Ubiquitin-conjugating enzyme E2 variant 1  OS=Mus musculus (Mouse) GN=Ube2v1 PE=1 SV=1	Q9CZY3
Q8R123_FAD synthase	sp|Q8R123|FAD1_MOUSE	FAD synthase  OS=Mus musculus (Mouse) GN=Flad1 PE=1 SV=1	Q8R123
Q60972_Histone-binding protein .	sp|Q60972|RBBP4_MOUSE	Histone-binding protein RBBP4  OS=Mus musculus (Mouse) GN=Rbbp4 PE=1 SV=5	Q60972
Q9WU84_Copper chaperone for sup.	sp|Q9WU84|CCS_MOUSE	Copper chaperone for superoxide dismutase  OS=Mus musculus (Mouse) GN=Ccs PE=1 SV=1	Q9WU84
Q3UFF7_Lysophospholipase-like p.	sp|Q3UFF7|LYPL1_MOUSE	Lysophospholipase-like protein 1  OS=Mus musculus (Mouse) GN=Lyplal1 PE=1 SV=3	Q3UFF7
P51859_Hepatoma-derived growth .	sp|P51859|HDGF_MOUSE	Hepatoma-derived growth factor  OS=Mus musculus (Mouse) GN=Hdgf PE=1 SV=2	P51859
P97821_Dipeptidyl peptidase 1	sp|P97821|CATC_MOUSE	Dipeptidyl peptidase 1  OS=Mus musculus (Mouse) GN=Ctsc PE=1 SV=1	P97821
P12382_ATP-dependent 6-phosphof.	sp|P12382|PFKAL_MOUSE	ATP-dependent 6-phosphofructokinase, liver type  OS=Mus musculus (Mouse) GN=Pfkl PE=1 SV=4	P12382
Q8BYL4_Tyrosine--tRNA ligase, m.	sp|Q8BYL4|SYYM_MOUSE	Tyrosine--tRNA ligase, mitochondrial  OS=Mus musculus (Mouse) GN=Yars2 PE=1 SV=2	Q8BYL4
O08600_Endonuclease G, mitochon.	sp|O08600|NUCG_MOUSE	Endonuclease G, mitochondrial  OS=Mus musculus (Mouse) GN=Endog PE=1 SV=1	O08600
Q9D110_5-formyltetrahydrofolate.	sp|Q9D110|MTHFS_MOUSE	5-formyltetrahydrofolate cyclo-ligase  OS=Mus musculus (Mouse) GN=Mthfs PE=2 SV=2	Q9D110
Q8R1I1_Cytochrome b-c1 complex .	sp|Q8R1I1|QCR9_MOUSE	Cytochrome b-c1 complex subunit 9  OS=Mus musculus (Mouse) GN=Uqcr10 PE=1 SV=1	Q8R1I1
O08917_Flotillin-1	sp|O08917|FLOT1_MOUSE	Flotillin-1  OS=Mus musculus (Mouse) GN=Flot1 PE=1 SV=1	O08917
Q9CXZ1_NADH dehydrogenase [ubiq.	sp|Q9CXZ1|NDUS4_MOUSE	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial  OS=Mus musculus (Mouse) GN=Ndufs4 PE=1 SV=3	Q9CXZ1
Q9Z210_Peroxisomal membrane pro.	sp|Q9Z210|PX11B_MOUSE	Peroxisomal membrane protein 11B  OS=Mus musculus (Mouse) GN=Pex11b PE=1 SV=1	Q9Z210
Q80XI3_Eukaryotic translation i.	sp|Q80XI3|IF4G3_MOUSE	Eukaryotic translation initiation factor 4 gamma 3  OS=Mus musculus (Mouse) GN=Eif4g3 PE=1 SV=2	Q80XI3
P04186_Complement factor B	sp|P04186|CFAB_MOUSE	Complement factor B  OS=Mus musculus (Mouse) GN=Cfb PE=1 SV=2	P04186
P35585_AP-1 complex subunit mu-1	sp|P35585|AP1M1_MOUSE	AP-1 complex subunit mu-1  OS=Mus musculus (Mouse) GN=Ap1m1 PE=1 SV=3	P35585
O09158_Cytochrome P450 3A25	sp|O09158|CP3AP_MOUSE	Cytochrome P450 3A25  OS=Mus musculus (Mouse) GN=Cyp3a25 PE=1 SV=1	O09158
P53811_Phosphatidylinositol tra.	sp|P53811|PIPNB_MOUSE	Phosphatidylinositol transfer protein beta isoform  OS=Mus musculus (Mouse) GN=Pitpnb PE=1 SV=2	P53811
P46935_E3 ubiquitin-protein lig.	sp|P46935|NEDD4_MOUSE	E3 ubiquitin-protein ligase NEDD4  OS=Mus musculus (Mouse) GN=Nedd4 PE=1 SV=3	P46935
Q07797_Galectin-3-binding prote.	sp|Q07797|LG3BP_MOUSE	Galectin-3-binding protein  OS=Mus musculus (Mouse) GN=Lgals3bp PE=1 SV=1	Q07797
Q62422_Osteoclast-stimulating f.	sp|Q62422|OSTF1_MOUSE	Osteoclast-stimulating factor 1  OS=Mus musculus (Mouse) GN=Ostf1 PE=1 SV=2	Q62422
O88668_Protein CREG1	sp|O88668|CREG1_MOUSE	Protein CREG1  OS=Mus musculus (Mouse) GN=Creg1 PE=1 SV=1	O88668
Q60737_Casein kinase II subunit.	sp|Q60737|CSK21_MOUSE	Casein kinase II subunit alpha  OS=Mus musculus (Mouse) GN=Csnk2a1 PE=1 SV=2	Q60737
Q80X90_Filamin-B	sp|Q80X90|FLNB_MOUSE	Filamin-B  OS=Mus musculus (Mouse) GN=Flnb PE=1 SV=3	Q80X90
Q68FL4_Putative adenosylhomocys.	sp|Q68FL4|SAHH3_MOUSE	Putative adenosylhomocysteinase 3  OS=Mus musculus (Mouse) GN=Ahcyl2 PE=1 SV=1	Q68FL4
Q9D8Y0_EF-hand domain-containin.	sp|Q9D8Y0|EFHD2_MOUSE	EF-hand domain-containing protein D2  OS=Mus musculus (Mouse) GN=Efhd2 PE=1 SV=1	Q9D8Y0
A7MCT6_Ethanolamine kinase 2	sp|A7MCT6|EKI2_MOUSE	Ethanolamine kinase 2  OS=Mus musculus (Mouse) GN=Etnk2 PE=1 SV=1	A7MCT6
P62075_Mitochondrial import inn.	sp|P62075|TIM13_MOUSE	Mitochondrial import inner membrane translocase subunit Tim13  OS=Mus musculus (Mouse) GN=Timm13 PE=1 SV=1	P62075
P35282_Ras-related protein Rab-.	sp|P35282|RAB21_MOUSE	Ras-related protein Rab-21  OS=Mus musculus (Mouse) GN=Rab21 PE=1 SV=4	P35282
Q9CQE8_RNA transcription, trans.	sp|Q9CQE8|RTRAF_MOUSE	RNA transcription, translation and transport factor protein  OS=Mus musculus (Mouse) GN=RTRAF PE=1 SV=1	Q9CQE8
P26883_Peptidyl-prolyl cis-tran.	sp|P26883|FKB1A_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP1A  OS=Mus musculus (Mouse) GN=Fkbp1a PE=1 SV=2	P26883
Q9CQI6_Coactosin-like protein	sp|Q9CQI6|COTL1_MOUSE	Coactosin-like protein  OS=Mus musculus (Mouse) GN=Cotl1 PE=1 SV=3	Q9CQI6
O08808_Protein diaphanous homol.	sp|O08808|DIAP1_MOUSE	Protein diaphanous homolog 1  OS=Mus musculus (Mouse) GN=Diaph1 PE=1 SV=1	O08808
Q9D0M5_Dynein light chain 2, cy.	sp|Q9D0M5|DYL2_MOUSE	Dynein light chain 2, cytoplasmic  OS=Mus musculus (Mouse) GN=Dynll2 PE=1 SV=1	Q9D0M5
Q8R2K1_Fucose mutarotase	sp|Q8R2K1|FUCM_MOUSE	Fucose mutarotase  OS=Mus musculus (Mouse) GN=Fuom PE=1 SV=1	Q8R2K1
Q3UIU2_NADH dehydrogenase [ubiq.	sp|Q3UIU2|NDUB6_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6  OS=Mus musculus (Mouse) GN=Ndufb6 PE=1 SV=3	Q3UIU2
Q8BMS4_Ubiquinone biosynthesis .	sp|Q8BMS4|COQ3_MOUSE	Ubiquinone biosynthesis O-methyltransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Coq3 PE=1 SV=1	Q8BMS4
Q61699_Heat shock protein 105 k.	sp|Q61699|HS105_MOUSE	Heat shock protein 105 kDa  OS=Mus musculus (Mouse) GN=Hsph1 PE=1 SV=2	Q61699
Q9D906_Ubiquitin-like modifier-.	sp|Q9D906|ATG7_MOUSE	Ubiquitin-like modifier-activating enzyme ATG7  OS=Mus musculus (Mouse) GN=Atg7 PE=1 SV=1	Q9D906
Q9ERY9_Probable ergosterol bios.	sp|Q9ERY9|ERG28_MOUSE	Probable ergosterol biosynthetic protein 28  OS=Mus musculus (Mouse) GN=Erg28 PE=2 SV=1	Q9ERY9
Q9QXB9_Developmentally-regulate.	sp|Q9QXB9|DRG2_MOUSE	Developmentally-regulated GTP-binding protein 2  OS=Mus musculus (Mouse) GN=Drg2 PE=1 SV=1	Q9QXB9
P63085_Mitogen-activated protei.	sp|P63085|MK01_MOUSE	Mitogen-activated protein kinase 1  OS=Mus musculus (Mouse) GN=Mapk1 PE=1 SV=3	P63085
Q9D1R9_60S ribosomal protein L34	sp|Q9D1R9|RL34_MOUSE	60S ribosomal protein L34  OS=Mus musculus (Mouse) GN=Rpl34 PE=1 SV=2	Q9D1R9
Q9DBG7_Signal recognition parti.	sp|Q9DBG7|SRPRA_MOUSE	Signal recognition particle receptor subunit alpha  OS=Mus musculus (Mouse) GN=Srpra PE=1 SV=1	Q9DBG7
Q03249_Galactose-1-phosphate ur.	sp|Q03249|GALT_MOUSE	Galactose-1-phosphate uridylyltransferase  OS=Mus musculus (Mouse) GN=Galt PE=1 SV=3	Q03249
Q8BLN5_Lanosterol synthase	sp|Q8BLN5|ERG7_MOUSE	Lanosterol synthase  OS=Mus musculus (Mouse) GN=Lss PE=1 SV=2	Q8BLN5
Q9CR00_26S proteasome non-ATPas.	sp|Q9CR00|PSMD9_MOUSE	26S proteasome non-ATPase regulatory subunit 9  OS=Mus musculus (Mouse) GN=Psmd9 PE=1 SV=1	Q9CR00
O35309_N-myc-interactor	sp|O35309|NMI_MOUSE	N-myc-interactor  OS=Mus musculus (Mouse) GN=Nmi PE=1 SV=1	O35309
Q8BMJ2_Leucine--tRNA ligase, cy.	sp|Q8BMJ2|SYLC_MOUSE	Leucine--tRNA ligase, cytoplasmic  OS=Mus musculus (Mouse) GN=Lars PE=1 SV=2	Q8BMJ2
P10833_Ras-related protein R-Ras	sp|P10833|RRAS_MOUSE	Ras-related protein R-Ras  OS=Mus musculus (Mouse) GN=Rras PE=1 SV=1	P10833
O54774_AP-3 complex subunit del.	sp|O54774|AP3D1_MOUSE	AP-3 complex subunit delta-1  OS=Mus musculus (Mouse) GN=Ap3d1 PE=1 SV=1	O54774
